id,name,album,Era,release_date,track_number,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms,Eras Tour
206,the 1,folklore (deluxe version),folklore,8/18/2020,1,spotify:track:4pfrrhvplbJZAIsfosGWQP,0.75,0.78,0.361,7.14E-06,0.108,-6.942,0.048,139.902,0.163,68,210240,Set List
207,cardigan,folklore (deluxe version),folklore,8/18/2020,2,spotify:track:0KRYCBwIpWYFNrXOmXbyUh,0.525,0.612,0.58,0.000414,0.26,-8.572,0.0419,130.045,0.534,68,239560,Surprise Song
208,the last great american dynasty,folklore (deluxe version),folklore,8/18/2020,3,spotify:track:2olxzvoFI9IpxqFeUv7WOX,0.481,0.688,0.653,0.00414,0.106,-8.558,0.0403,147.991,0.701,66,231000,Set List
209,exile (feat. Bon Iver),folklore (deluxe version),folklore,8/18/2020,4,spotify:track:5S4aYQAJOwJMAamANWlICO,0.761,0.31,0.374,2.46E-05,0.11,-8.464,0.0275,75.938,0.16,68,285640,Surprise Song
210,my tears ricochet,folklore (deluxe version),folklore,8/18/2020,5,spotify:track:5P2bHCDM2tsgIaYWsZMhu5,0.814,0.456,0.265,0,0.0679,-10.663,0.0328,129.947,0.112,68,255893,Set List
211,mirrorball,folklore (deluxe version),folklore,8/18/2020,6,spotify:track:2I8YAEA1VmCuP1wkJHMpTw,0.686,0.549,0.417,1.90E-06,0.0604,-10.064,0.035,110.137,0.347,66,208973,Surprise Song
212,seven,folklore (deluxe version),folklore,8/18/2020,7,spotify:track:76mOLcXOjOEhyY4mMF1l3r,0.888,0.602,0.494,2.59E-05,0.0902,-10.813,0.0277,94.955,0.374,66,208906,Surprise Song
213,august,folklore (deluxe version),folklore,8/18/2020,8,spotify:track:6nK2pIKFcRc5frrZKHgsiT,0.553,0.387,0.634,6.93E-05,0.0931,-9.222,0.0363,89.567,0.42,68,261920,Set List
214,this is me trying,folklore (deluxe version),folklore,8/18/2020,9,spotify:track:7cm50Lw03k6VvRauJtkyTj,0.312,0.511,0.478,2.30E-05,0.147,-9.837,0.0322,135.882,0.408,66,195106,Surprise Song
215,illicit affairs,folklore (deluxe version),folklore,8/18/2020,10,spotify:track:6DrLROM5MG9bxWHeEG5elq,0.862,0.529,0.304,0,0.108,-10.567,0.0356,119.58,0.44,66,190893,Set List
216,invisible string,folklore (deluxe version),folklore,8/18/2020,11,spotify:track:2ehRU518I0hYqMGQnk4lDY,0.859,0.651,0.459,6.63E-05,0.105,-11.128,0.0507,83.455,0.454,66,252880,Set List
217,mad woman,folklore (deluxe version),folklore,8/18/2020,12,spotify:track:0RP1kqoSPkVXsKiQNhMKzV,0.67,0.593,0.7,6.77E-06,0.116,-9.016,0.0492,141.898,0.451,64,237266,Surprise Song
218,epiphany,folklore (deluxe version),folklore,8/18/2020,13,spotify:track:1EXa37LpSvi3OQ9UYQ28rD,0.727,0.317,0.254,0.000326,0.0867,-13.679,0.0286,93.933,0.103,63,289746,Surprise Song
219,betty,folklore (deluxe version),folklore,8/18/2020,14,spotify:track:3IhtE4fkytdrtEfV34UzkD,0.589,0.595,0.376,0,0.0989,-8.767,0.0256,95.946,0.476,65,294520,Set List
220,peace,folklore (deluxe version),folklore,8/18/2020,15,spotify:track:6JlI8Ay77m4nJvZTHvfT1J,0.916,0.644,0.284,1.50E-05,0.0909,-12.879,0.0821,150.072,0.328,63,234000,Surprise Song
221,hoax,folklore (deluxe version),folklore,8/18/2020,16,spotify:track:0YeDG5HnKnG7jpArkzsSPa,0.964,0.676,0.178,7.90E-06,0.135,-15.01,0.0394,118.84,0.404,63,220040,Surprise Song
222,the lakes - bonus track,folklore (deluxe version),folklore,8/18/2020,17,spotify:track:0eFQWVz0qIxDOvhLpZ40P7,0.842,0.313,0.258,1.30E-06,0.0948,-11.532,0.0383,179.947,0.268,67,211813,Surprise Song
223,I Forgot That You Existed,Lover,Lover,8/23/2019,1,spotify:track:43rA71bccXFGD4C8GOpIlN,0.298,0.664,0.316,2.03E-06,0.0812,-10.345,0.519,92.875,0.541,71,170640,Surprise Song
224,Cruel Summer,Lover,Lover,8/23/2019,2,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,0.117,0.552,0.702,2.06E-05,0.105,-5.707,0.157,169.994,0.564,93,178426,Set List
225,Lover,Lover,Lover,8/23/2019,3,spotify:track:1dGr1c8CrMLDpV6mPbImSI,0.492,0.359,0.543,1.58E-05,0.118,-7.582,0.0919,68.534,0.453,86,221306,Set List
226,The Man,Lover,Lover,8/23/2019,4,spotify:track:3RauEVgRgj1IuWdJ9fDs70,0.0767,0.777,0.658,0,0.0901,-5.191,0.054,110.048,0.633,81,190360,Set List
227,The Archer,Lover,Lover,8/23/2019,5,spotify:track:3pHkh7d0lzM2AldUtz2x37,0.12,0.292,0.574,0.00569,0.0663,-9.375,0.0401,124.344,0.166,75,211240,Set List
228,I Think He Knows,Lover,Lover,8/23/2019,6,spotify:track:2YWtcWi3a83pdEg3Gif4Pd,0.00889,0.897,0.366,0.000353,0.0715,-8.029,0.0569,100.003,0.416,72,173386,Surprise Song
229,Miss Americana & The Heartbreak Prince,Lover,Lover,8/23/2019,7,spotify:track:214nt20w5wOxJnY462klLw,0.028,0.662,0.747,0.00615,0.138,-6.926,0.0736,150.088,0.487,79,234146,Set List
230,Paper Rings,Lover,Lover,8/23/2019,8,spotify:track:4y5bvROuBDPr5fuwXbIBZR,0.0129,0.811,0.719,1.36E-05,0.0742,-6.553,0.0497,103.979,0.865,78,222400,Surprise Song
231,Cornelia Street,Lover,Lover,8/23/2019,9,spotify:track:12M5uqx0ZuwkpLp5rJim1a,0.781,0.824,0.624,0.000189,0.1,-9.728,0.0827,102.012,0.248,74,287266,Surprise Song
232,Death By A Thousand Cuts,Lover,Lover,8/23/2019,10,spotify:track:2dgFqt3w9xIQRjhPtwNk3D,0.454,0.712,0.732,0,0.319,-6.754,0.0629,94.071,0.313,72,198533,Surprise Song
233,London Boy,Lover,Lover,8/23/2019,11,spotify:track:1LLXZFeAHK9R4xUramtUKw,0.0246,0.695,0.71,0.000104,0.133,-6.639,0.05,157.925,0.557,74,190240,Surprise Song
234,Soon You'll Get Better (feat. The Chicks),Lover,Lover,8/23/2019,12,spotify:track:4AYtqFyFbX0Xkc2wtcygTr,0.907,0.433,0.182,0,0.123,-12.566,0.0641,207.476,0.421,66,201586,No
235,False God,Lover,Lover,8/23/2019,13,spotify:track:5hQSXkFgbxjZo9uCwd11so,0.736,0.739,0.32,0.000147,0.111,-10.862,0.239,79.97,0.351,73,200306,Surprise Song
236,You Need To Calm Down,Lover,Lover,8/23/2019,14,spotify:track:6RRNNciQGZEXnqk8SQ9yv5,0.00929,0.771,0.671,0,0.0637,-5.617,0.0553,85.026,0.714,80,171360,Set List
237,Afterglow,Lover,Lover,8/23/2019,15,spotify:track:1SymEzIT3H8UZfibCs3TYi,0.13,0.756,0.449,0,0.114,-8.746,0.0344,111.011,0.399,74,223293,Surprise Song
238,ME! (feat. Brendon Urie of Panic! At The Disco),Lover,Lover,8/23/2019,16,spotify:track:2Rk4JlNc2TPmZe2af99d45,0.033,0.61,0.83,0,0.118,-4.105,0.0571,182.162,0.728,75,193000,Surprise Song
239,Its Nice To Have A Friend,Lover,Lover,8/23/2019,17,spotify:track:1SmiQ65iSAbPto6gPFlBYm,0.971,0.737,0.175,0.000337,0.171,-9.912,0.0401,70.008,0.545,66,150440,Surprise Song
240,Daylight,Lover,Lover,8/23/2019,18,spotify:track:1fzAuUVbzlhZ1lJAx9PtY6,0.808,0.557,0.496,0.000173,0.0772,-9.602,0.0563,149.983,0.265,78,293453,Surprise Song
241,All of the Girls you Loved Before,Lover (Vault),Lover,3/17/2023,,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,,,,,,,,,,,,Surprise Song
242,...Ready For It?,reputation,Reputation,11/10/2017,1,spotify:track:2yLa0QULdQr0qAIvVwN6B5,0.0527,0.613,0.764,0,0.197,-6.509,0.136,160.015,0.417,82,208186,Set List
243,End Game,reputation,Reputation,11/10/2017,2,spotify:track:2x0WlnmfG39ZuDmstl9xfX,0.00845,0.649,0.589,0,0.108,-6.237,0.0558,159.073,0.151,74,244826,Surprise Song
244,I Did Something Bad,reputation,Reputation,11/10/2017,3,spotify:track:4svZDCRz4cJoneBpjpx8DJ,0.0679,0.696,0.602,2.11E-05,0.0696,-6.156,0.159,82.989,0.305,75,238253,Surprise Song
245,Don't Blame Me,reputation,Reputation,11/10/2017,4,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,0.106,0.615,0.534,1.76E-05,0.0607,-6.719,0.0386,135.917,0.193,85,236413,Set List
246,Delicate,reputation,Reputation,11/10/2017,5,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,0.216,0.75,0.404,0.000357,0.0911,-10.178,0.0682,95.045,0.0499,81,232253,Set List
247,Look What You Made Me Do,reputation,Reputation,11/10/2017,6,spotify:track:1P17dC1amhFzptugyAO7Il,0.204,0.766,0.709,1.41E-05,0.126,-6.471,0.123,128.07,0.506,81,211853,Set List
248,So It Goes...,reputation,Reputation,11/10/2017,7,spotify:track:5PxFv9yJEg9dxvbZggykro,0.122,0.574,0.61,1.10E-06,0.13,-7.283,0.0732,74.957,0.374,69,227906,Surprise Song
249,Gorgeous,reputation,Reputation,11/10/2017,8,spotify:track:1ZY1PqizIl78geGM4xWlEA,0.0713,0.8,0.535,9.48E-06,0.213,-6.684,0.135,92.027,0.451,76,209680,Surprise Song
250,Getaway Car,reputation,Reputation,11/10/2017,9,spotify:track:0VE4kBnHJUgtMf0dy6DRmW,0.00465,0.562,0.689,2.23E-06,0.0888,-6.745,0.127,172.054,0.351,79,233626,Surprise Song
251,King Of My Heart,reputation,Reputation,11/10/2017,10,spotify:track:7HuBDWi18s4aJM8UFnNheH,0.00882,0.675,0.703,2.21E-06,0.0391,-7.902,0.0382,110.01,0.314,72,214320,Surprise Song
252,Dancing With Our Hands Tied,reputation,Reputation,11/10/2017,11,spotify:track:7I7JbDv63ZJJsSi24DyJrz,0.0604,0.624,0.691,1.10E-05,0.138,-6.686,0.196,160.024,0.284,72,211506,Surprise Song
253,Dress,reputation,Reputation,11/10/2017,12,spotify:track:6oVxXO5oQ4pTpO8RSnkzvv,0.0329,0.719,0.469,0,0.169,-8.792,0.0533,120.085,0.0851,75,230373,Surprise Song
254,This Is Why We Can't Have Nice Things,reputation,Reputation,11/10/2017,13,spotify:track:07NxDD1iKCHbAldceD7QLP,0.0156,0.567,0.789,0,0.382,-5.986,0.115,163.96,0.438,70,207133,Surprise Song
255,Call It What You Want,reputation,Reputation,11/10/2017,14,spotify:track:1GwMQaZz6Au3QLDbjbMdme,0.186,0.598,0.504,0.000221,0.34,-9.874,0.0731,163.954,0.252,75,203506,Surprise Song
256,New Year's Day,reputation,Reputation,11/10/2017,15,spotify:track:7F5oktn5YOsR9eR5YsFtqb,0.921,0.661,0.151,0,0.13,-12.864,0.0354,94.922,0.23,70,235466,Surprise Song
257,Welcome To New York,1989 (Deluxe),1989,1/1/2014,1,spotify:track:3nRmDz7qGCvsMS30rGGY0x,0.0348,0.789,0.634,1.64E-06,0.302,-4.762,0.0323,116.992,0.658,48,212600,
258,Blank Space,1989 (Deluxe),1989,1/1/2014,2,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,0.103,0.76,0.703,0,0.0913,-5.412,0.054,95.997,0.57,81,231826,
259,Style,1989 (Deluxe),1989,1/1/2014,3,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,0.00245,0.588,0.791,0.00258,0.118,-5.595,0.0402,94.933,0.487,79,231000,
260,Out Of The Woods,1989 (Deluxe),1989,1/1/2014,4,spotify:track:0qUnBLZ8bJqUNEeQgayL9t,0.000743,0.553,0.841,1.19E-05,0.341,-6.937,0.0396,92.008,0.338,59,235800,
261,All You Had To Do Was Stay,1989 (Deluxe),1989,1/1/2014,5,spotify:track:6aLOekfwbytwWvQftxTEF0,0.00201,0.605,0.725,2.02E-05,0.101,-5.729,0.0323,96.97,0.539,47,193293,
262,Shake It Off,1989 (Deluxe),1989,1/1/2014,6,spotify:track:0cqRj7pUJDkTCEsJkx8snD,0.0647,0.647,0.8,0,0.334,-5.384,0.165,160.078,0.942,80,219200,
263,I Wish You Would,1989 (Deluxe),1989,1/1/2014,7,spotify:track:5gRYrtvyVyaCRvLt56OfuV,0.0158,0.653,0.893,4.95E-05,0.102,-5.966,0.0538,118.035,0.513,51,207440,
264,Bad Blood,1989 (Deluxe),1989,1/1/2014,8,spotify:track:2NlmmAjGYrrjAp0MED5rGx,0.0885,0.646,0.794,6.16E-06,0.201,-6.104,0.19,170.216,0.287,52,211933,
265,Wildest Dreams,1989 (Deluxe),1989,1/1/2014,9,spotify:track:4A4A6dwl5DqdqrZaEtKGPR,0.0692,0.55,0.688,0.00144,0.106,-7.416,0.0897,139.997,0.465,52,220440,
266,How You Get The Girl,1989 (Deluxe),1989,1/1/2014,10,spotify:track:0fM9dEhUFV4MHDuJgrcfOv,0.00364,0.765,0.656,0.00868,0.0918,-6.112,0.0504,119.997,0.545,55,247533,
267,This Love,1989 (Deluxe),1989,1/1/2014,11,spotify:track:4L560fic5PaTuCFm6CviKa,0.678,0.481,0.435,0,0.0928,-8.795,0.0321,143.95,0.107,50,250093,
268,I Know Places,1989 (Deluxe),1989,1/1/2014,12,spotify:track:6EwNJz8CuVsrsLvXprJ20Q,0.245,0.602,0.755,0,0.178,-4.991,0.071,159.965,0.495,50,195706,
269,Clean,1989 (Deluxe),1989,1/1/2014,13,spotify:track:1NmVZsG18CzCAtw7rnV3yA,0.232,0.815,0.377,0,0.1,-7.754,0.0346,103.97,0.211,55,271000,
270,Wonderland,1989 (Deluxe),1989,1/1/2014,14,spotify:track:6RvRzl1YJTDnUvdOtV21IK,0.0493,0.422,0.692,2.57E-05,0.177,-5.447,0.0549,184.014,0.197,55,245560,
271,You Are In Love,1989 (Deluxe),1989,1/1/2014,15,spotify:track:2KrOAg6FftbjgSKdd2a4rS,0.707,0.474,0.48,0.000108,0.0903,-8.894,0.0622,170.109,0.319,55,267106,
272,New Romantics,1989 (Deluxe),1989,1/1/2014,16,spotify:track:0qAIiGFKLdV1xpNlEhjpq8,0.00463,0.633,0.889,0.000458,0.0658,-5.87,0.0715,121.956,0.584,62,230466,
273,I Know Places - Voice Memo,1989 (Deluxe),1989,1/1/2014,17,spotify:track:4FoV729rw7IhoKlMZW5K5V,0.829,0.592,0.128,0,0.527,-17.932,0.589,78.828,0.15,0,216333,
274,I Wish You Would - Voice Memo,1989 (Deluxe),1989,1/1/2014,18,spotify:track:4eTXfpHxhxVofrBUjAhPMg,0.717,0.781,0.357,0,0.185,-16.394,0.912,118.317,0.645,0,107133,
275,Blank Space - Voice Memo,1989 (Deluxe),1989,1/1/2014,19,spotify:track:4e6QU4gpfZj9xxcK856RgG,0.801,0.675,0.234,0,0.657,-15.064,0.721,127.296,0.578,0,131186,
276,State Of Grace,Red (Deluxe Edition),Red,10/22/2012,1,spotify:track:0b16LTzby1YRVd2nq2Z0fw,0.000197,0.588,0.825,0.00138,0.0884,-5.882,0.0328,129.968,0.397,43,295720,
277,Red,Red (Deluxe Edition),Red,10/22/2012,2,spotify:track:7gJtmLyPTwKzhGzMBXtuXH,0.0773,0.602,0.896,8.87E-05,0.0911,-4.267,0.0437,124.978,0.641,54,223093,
278,Treacherous,Red (Deluxe Edition),Red,10/22/2012,3,spotify:track:7nECwCDHS1JvQbrmuorZIH,0.101,0.704,0.621,4.30E-06,0.14,-8.086,0.0334,109.995,0.395,41,242760,
279,I Knew You Were Trouble.,Red (Deluxe Edition),Red,10/22/2012,4,spotify:track:3lKZf71jeNi14udIFPJ29V,0.00454,0.622,0.469,2.25E-06,0.0335,-6.798,0.0363,77.019,0.679,59,219720,
280,All Too Well,Red (Deluxe Edition),Red,10/22/2012,5,spotify:track:6GNRkaWUB0Lwc19SdkTgx8,0.0382,0.602,0.609,0.0002,0.128,-7.803,0.0243,93.06,0.337,59,329160,
281,22,Red (Deluxe Edition),Red,10/22/2012,6,spotify:track:3WC5CVAahvn98hiseoIvbw,0.00215,0.661,0.729,0.0013,0.0477,-6.561,0.0376,103.987,0.668,59,232120,
282,I Almost Do,Red (Deluxe Edition),Red,10/22/2012,7,spotify:track:1eyqSYBCTane4rl4vc6PWJ,0.0173,0.567,0.481,4.13E-05,0.182,-7.357,0.027,145.865,0.233,43,244560,
283,We Are Never Ever Getting Back Together,Red (Deluxe Edition),Red,10/22/2012,8,spotify:track:6kISMRfweKSvgHR0urMQFG,0.00957,0.628,0.676,2.65E-05,0.121,-5.911,0.0916,85.984,0.75,59,193146,
284,Stay Stay Stay,Red (Deluxe Edition),Red,10/22/2012,9,spotify:track:0F2S1QlnMaOfmNHIgmES3k,0.307,0.729,0.748,1.29E-06,0.0962,-6.67,0.0245,99.981,0.928,43,205853,
285,The Last Time,Red (Deluxe Edition),Red,10/22/2012,10,spotify:track:2Tz4JnXZOcjcp8fWfMjBBk,0.035,0.505,0.443,3.15E-06,0.0906,-7.039,0.0276,94.069,0.123,45,299013,
286,Holy Ground,Red (Deluxe Edition),Red,10/22/2012,11,spotify:track:3KmYVOuK2eG7LGP7qQ8DLR,0.0162,0.627,0.816,0.00208,0.0965,-6.698,0.0774,157.043,0.648,41,202960,
287,Sad Beautiful Tragic,Red (Deluxe Edition),Red,10/22/2012,12,spotify:track:70e9zuv2pJc7ON1OUAJ1zl,0.632,0.624,0.34,0.0337,0.0805,-12.411,0.029,129.987,0.261,40,284866,
288,The Lucky One,Red (Deluxe Edition),Red,10/22/2012,13,spotify:track:5VQLMrWhailAhErKNUSnv1,0.0371,0.706,0.499,0,0.132,-7.675,0.0369,117.937,0.545,40,240266,
289,Everything Has Changed,Red (Deluxe Edition),Red,10/22/2012,14,spotify:track:5PjfMmF06QtxTPZBZHdhoZ,0.36,0.624,0.458,3.89E-06,0.311,-6.755,0.0287,80.016,0.436,52,245413,
290,Starlight,Red (Deluxe Edition),Red,10/22/2012,15,spotify:track:1gL4vMhDV3RgJQmDuY5HK1,0.0213,0.649,0.777,0.000335,0.21,-5.804,0.0406,126.018,0.587,41,220600,
291,Begin Again,Red (Deluxe Edition),Red,10/22/2012,16,spotify:track:1yG491M3fRfowMdGN5pey4,0.199,0.53,0.526,3.52E-06,0.14,-8.349,0.0263,79.025,0.323,45,239426,
292,The Moment I Knew,Red (Deluxe Edition),Red,10/22/2012,17,spotify:track:4qTAwKJQ68gmnrnfPD3vlO,0.187,0.619,0.506,1.47E-05,0.101,-7.327,0.0315,126.03,0.274,38,286613,
293,Come Back...Be Here,Red (Deluxe Edition),Red,10/22/2012,18,spotify:track:1n8rB9AhxiAvVP1E2c3yOd,0.00471,0.483,0.548,2.01E-06,0.0997,-6.291,0.0254,79.926,0.217,43,223920,
294,Girl At Home,Red (Deluxe Edition),Red,10/22/2012,19,spotify:track:6VFpuI0DDmbC5UyWZQ4IRY,0.272,0.733,0.59,0,0.134,-5.86,0.0284,125.048,0.633,37,220840,
295,Treacherous - Original Demo Recording,Red (Deluxe Edition),Red,10/22/2012,20,spotify:track:7skiELMb9SiQCcBpsExIJf,0.175,0.828,0.64,6.14E-05,0.0991,-8.248,0.0355,109.993,0.519,34,240266,
296,Red - Original Demo Recording,Red (Deluxe Edition),Red,10/22/2012,21,spotify:track:2OghnlGqZZsFzHjG0CSE9l,0.113,0.678,0.902,0.000235,0.0705,-4.659,0.0358,124.998,0.637,36,227080,
297,State Of Grace - Acoustic,Red (Deluxe Edition),Red,10/22/2012,22,spotify:track:5mfDBWY7ncZFm7ykmFTG4i,0.664,0.626,0.118,0.000169,0.127,-15.91,0.0305,105.597,0.0682,37,323080,
298,Mine - POP Mix,Speak Now (Deluxe Package),Speak Now,1/1/2010,1,spotify:track:0OAHsZ8vrS2NKom3cvfJQD,0.00461,0.696,0.768,1.21E-06,0.101,-3.863,0.0308,121.05,0.692,42,230546,
299,Sparks Fly,Speak Now (Deluxe Package),Speak Now,1/1/2010,2,spotify:track:09cM9BjyNFizKUOXh6j9rT,0.0387,0.608,0.785,0,0.158,-2.976,0.0311,114.985,0.376,52,260946,
300,Back To December,Speak Now (Deluxe Package),Speak Now,1/1/2010,3,spotify:track:0tr6XR58KBdDYd8qvHVTs8,0.0202,0.517,0.606,0,0.324,-5.797,0.0289,141.929,0.296,63,293040,
301,Speak Now,Speak Now (Deluxe Package),Speak Now,1/1/2010,4,spotify:track:2PBghI9zJkQEWBzMSMo2Ki,0.101,0.708,0.601,0,0.0979,-3.75,0.0306,118.962,0.742,51,240773,
302,Dear John,Speak Now (Deluxe Package),Speak Now,1/1/2010,5,spotify:track:1GeLxMgpeCnMJntwyW6rLw,0.183,0.583,0.468,1.65E-06,0.111,-5.378,0.0278,119.375,0.126,46,403887,
303,Mean,Speak Now (Deluxe Package),Speak Now,1/1/2010,6,spotify:track:6yM6QsnTCTVOkKEvg3hGlo,0.445,0.57,0.747,0,0.219,-3.978,0.0426,164.004,0.808,55,237746,
304,The Story Of Us,Speak Now (Deluxe Package),Speak Now,1/1/2010,7,spotify:track:7vBlnGdfOLzVEqiOQQxeU8,0.000315,0.575,0.855,0.00161,0.0419,-4.827,0.0467,139.92,0.84,40,265636,
305,Never Grow Up,Speak Now (Deluxe Package),Speak Now,1/1/2010,8,spotify:track:57w0Uyk2jJAkO2hMJ36xJZ,0.829,0.715,0.308,0,0.16,-8.829,0.0305,124.899,0.547,44,290480,
306,Enchanted,Speak Now (Deluxe Package),Speak Now,1/1/2010,9,spotify:track:3sqrvkNC6IPTIXvvbx9Arw,0.0716,0.535,0.618,0.000388,0.169,-3.913,0.0273,81.975,0.228,71,352200,
307,Better Than Revenge,Speak Now (Deluxe Package),Speak Now,1/1/2010,10,spotify:track:55mh9j2aB7xZ1Oh463gK8k,0.0167,0.519,0.917,2.06E-05,0.359,-3.185,0.0887,145.882,0.652,54,217173,
308,Innocent,Speak Now (Deluxe Package),Speak Now,1/1/2010,11,spotify:track:4LraIz87diVQdDK0rhi0S4,0.202,0.553,0.604,0,0.125,-5.295,0.0258,133.989,0.186,40,302266,
309,Haunted,Speak Now (Deluxe Package),Speak Now,1/1/2010,12,spotify:track:72idZxdEHLbi2YI486c3sE,0.0769,0.434,0.944,0,0.151,-2.641,0.0581,162.02,0.361,48,242093,
310,Last Kiss,Speak Now (Deluxe Package),Speak Now,1/1/2010,13,spotify:track:1VCJ7vk3Y2DoJIAEOXe3V8,0.581,0.359,0.329,3.75E-05,0.0979,-9.531,0.0293,84.358,0.208,46,367146,
311,Long Live,Speak Now (Deluxe Package),Speak Now,1/1/2010,14,spotify:track:7BFc7ffruhZ4Hecnqf5xju,0.0426,0.412,0.682,7.47E-05,0.106,-4.319,0.0339,203.959,0.146,46,317960,
312,Ours,Speak Now (Deluxe Package),Speak Now,1/1/2010,15,spotify:track:0hK93KD6Y0j9giUGh4Valj,0.505,0.61,0.556,0,0.0851,-7.369,0.0285,159.838,0.192,46,238173,
313,If This Was A Movie,Speak Now (Deluxe Package),Speak Now,1/1/2010,16,spotify:track:5tSmAABuoOfR59lrtXdDqm,0.154,0.515,0.724,4.05E-06,0.269,-3.498,0.0267,147.788,0.257,45,234546,
314,Superman,Speak Now (Deluxe Package),Speak Now,1/1/2010,17,spotify:track:6aJ0ipi4EPmu1aTbFeXZnw,0.0187,0.582,0.817,1.94E-06,0.101,-3.718,0.0337,131.983,0.547,39,276266,
315,Back To December - Acoustic,Speak Now (Deluxe Package),Speak Now,1/1/2010,18,spotify:track:7k7BOXE4u6luKTwcLEAyrd,0.731,0.541,0.451,0,0.197,-6.522,0.027,141.713,0.333,49,292533,
316,Haunted - Acoustic Version,Speak Now (Deluxe Package),Speak Now,1/1/2010,19,spotify:track:6SdBf0ZsJZoKaH5zcDaz9X,0.841,0.574,0.462,0,0.28,-5.124,0.0252,80.858,0.314,44,217626,
317,Mine,Speak Now (Deluxe Package),Speak Now,1/1/2010,20,spotify:track:67Io3gxHwfbUreBf114c0u,0.00327,0.621,0.78,4.55E-06,0.184,-2.934,0.0297,121.038,0.672,57,230773,
318,Back To December,Speak Now (Deluxe Package),Speak Now,1/1/2010,21,spotify:track:5aNkiOMxQXkpoEY5bTYoCh,0.113,0.525,0.676,0,0.294,-4.684,0.0294,141.95,0.281,34,293040,
319,The Story Of Us,Speak Now (Deluxe Package),Speak Now,1/1/2010,22,spotify:track:2jt90bYlYDg1lXYWES34LJ,0.00487,0.546,0.809,0.000372,0.0437,-3.621,0.041,139.91,0.649,52,266480,
320,Jump Then Fall,Fearless (Platinum Edition),Fearless,11/11/2008,1,spotify:track:6WWvcA62QlnRguluWAk6bv,0.111,0.618,0.687,0,0.0693,-5.737,0.0271,79.991,0.82,41,237066,
321,Untouchable,Fearless (Platinum Edition),Fearless,11/11/2008,2,spotify:track:6ovFJkdau79DuXEvQjPaNH,0.0583,0.419,0.454,3.78E-06,0.0974,-6.809,0.0335,200.017,0.288,43,311040,
322,Forever & Always - Piano Version,Fearless (Platinum Edition),Fearless,11/11/2008,3,spotify:track:13MAWVUSkbGMUi6I7RowRK,0.852,0.592,0.16,0,0.116,-10.785,0.0347,118.929,0.294,41,267506,
323,Come In With The Rain,Fearless (Platinum Edition),Fearless,11/11/2008,4,spotify:track:0cEG04R5cldkTLzK6phlcn,0.0961,0.527,0.461,2.47E-06,0.24,-6.172,0.0256,143.94,0.23,39,238093,
324,SuperStar,Fearless (Platinum Edition),Fearless,11/11/2008,5,spotify:track:0XfTh16YcKPzdxMPTeKTAq,0.367,0.61,0.531,0,0.351,-6.123,0.0239,85.979,0.228,38,261453,
325,The Other Side Of The Door,Fearless (Platinum Edition),Fearless,11/11/2008,6,spotify:track:1yDJcXc549N6AabNBzFAku,0.169,0.476,0.816,0,0.238,-4.279,0.0347,163.847,0.469,39,237600,
326,Fearless,Fearless (Platinum Edition),Fearless,11/11/2008,7,spotify:track:2okho7vU7Nsq1UZD0kgIMi,0.0364,0.598,0.714,1.04E-06,0.31,-4.397,0.0273,99.979,0.467,50,242000,
327,Fifteen,Fearless (Platinum Edition),Fearless,11/11/2008,8,spotify:track:5Ora3Ish2A1JN5veGYTxhw,0.0728,0.559,0.636,0,0.144,-4.4,0.0263,95.485,0.214,40,294346,
328,Love Story,Fearless (Platinum Edition),Fearless,11/11/2008,9,spotify:track:5hnJCRSo4pxRsaEwT9YusG,0.157,0.618,0.736,0,0.073,-3.937,0.0308,118.982,0.307,56,235280,
329,Hey Stephen,Fearless (Platinum Edition),Fearless,11/11/2008,10,spotify:track:3CI1f4yLwdHzcUnH7o0Xyh,0.168,0.843,0.553,2.66E-06,0.107,-7.348,0.0317,115.997,0.825,43,254320,
330,White Horse,Fearless (Platinum Edition),Fearless,11/11/2008,11,spotify:track:5yKB8qcTSflDercM2PXwot,0.302,0.585,0.346,0,0.102,-8.014,0.0256,92.564,0.195,42,234440,
331,You Belong With Me,Fearless (Platinum Edition),Fearless,11/11/2008,12,spotify:track:4kgTdThcDHfuDS2kKxB7Lc,0.164,0.687,0.771,2.46E-05,0.112,-4.424,0.0384,129.964,0.445,57,231146,
332,Breathe,Fearless (Platinum Edition),Fearless,11/11/2008,13,spotify:track:23qIWGhpwvDgC23TyZOUck,0.373,0.498,0.486,0,0.113,-7.384,0.0273,147.952,0.17,38,263986,
333,Tell Me Why,Fearless (Platinum Edition),Fearless,11/11/2008,14,spotify:track:4x7Gxk2GfwZJcqpoVT1PbR,0.0606,0.601,0.852,3.41E-06,0.37,-3.096,0.0386,100.015,0.513,40,200560,
